Date,Avg,Low,High
"	2014-09-01",24.1,20.4,29.7
"	2014-09-02",23.1,19.3,27.7
"	2014-09-03",19.1,17.4,20.6
"	2014-09-04",22.4,18,27.6
"	2014-09-05",23.8,20,29
"	2014-09-06",25.2,20.3,30.8
"	2014-09-07",25.3,19.8,31.3
"	2014-09-08",24.8,20.6,30.2
"	2014-09-09",23.3,19.9,28.2
"	2014-09-10",22.4,16.7,28.9
"	2014-09-11",23.3,17.5,29.2
"	2014-09-12",21.3,18.6,26.6
"	2014-09-13",23.1,18.6,28.3
"	2014-09-14",23,18.2,28.4
"	2014-09-15",23.1,20.6,27.5
"	2014-09-16",21.3,15.8,27
"	2014-09-17",20.2,17.6,22.6
"	2014-09-18",20.6,16.2,27
"	2014-09-19",21.4,14.9,28.4
"	2014-09-20",21.6,15.4,28.1
"	2014-09-21",20.2,17.5,25.6
"	2014-09-22",21.4,15,27.9
"	2014-09-23",23,18.1,29
"	2014-09-24",20.3,18,23.8
"	2014-09-25",22.2,17.7,27.7
"	2014-09-26",21,18.6,24.2
"	2014-09-27",21.4,18.3,25.1
"	2014-09-28",21.7,19.2,24.7
"	2014-09-29",19.4,17.7,20.7
"	2014-09-30",18.9,15.4,23.7
"	2014-10-01",19.2,14.9,24.4
"	2014-10-02",18.1,17.1,20.1
"	2014-10-03",16.1,13.4,20.8
"	2014-10-04",16.9,11.6,23
"	2014-10-05",17.1,12.5,23.2
"	2014-10-06",16.6,10.5,22.6
"	2014-10-07",16.1,11.6,22.5
"	2014-10-08",16.7,10,23.6
"	2014-10-09",18.6,12.4,25.4
"	2014-10-10",19,12.5,26.3
"	2014-10-11",19.4,13.6,25.6
"	2014-10-12",21.2,13.9,29
"	2014-10-13",17.4,11,21.7
"	2014-10-14",13.8,8.5,20
"	2014-10-15",13.8,8.9,20
"	2014-10-16",13.2,9.3,18
"	2014-10-17",13.6,6.6,21.2
"	2014-10-18",15.5,9.4,22.5
"	2014-10-19",17,11.2,22.7
"	2014-10-20",14.4,12.9,17.1
"	2014-10-21",13.8,11.9,15.7
"	2014-10-22",13.6,10.4,18.7
"	2014-10-23",13.8,8.5,20.6
"	2014-10-24",15.1,9.9,21
"	2014-10-25",16.5,12.9,22.2
"	2014-10-26",16,11.6,19.9
"	2014-10-27",10.7,6.1,16.9
"	2014-10-28",10.2,2.7,19.4
"	2014-10-29",12.1,4.9,20.8
"	2014-10-30",14.2,7.7,20.8
"	2014-10-31",15,12.8,18.2
"	2014-11-01",17.3,15.1,22.9
"	2014-11-02",12,7.1,15.4
"	2014-11-03",9.3,3.8,14.8
"	2014-11-04",11.3,5.4,18.5
"	2014-11-05",12.4,6.4,18.4
"	2014-11-06",13.5,9.5,17.7
"	2014-11-07",9.8,5.1,16.5
"	2014-11-08",9.9,6.9,15.1
"	2014-11-09",10,6.3,15.5
"	2014-11-10",9.4,3.5,16.5
"	2014-11-11",9.4,4.6,14.5
"	2014-11-12",6,-1.3,10
"	2014-11-13",-0.2,-3.1,4.3
"	2014-11-14",4.2,-1.4,10
"	2014-11-15",4.1,-0.5,9.5
"	2014-11-16",6.6,2.6,12.4
"	2014-11-17",6.2,3.8,9
"	2014-11-18",5,1.7,10.4
"	2014-11-19",5.6,-0.6,12.6
"	2014-11-20",7.9,2.7,14.6
"	2014-11-21",11.3,5.9,16.5
"	2014-11-22",11,8,12.7
"	2014-11-23",9,6.3,12.3
"	2014-11-24",9.8,8,13.2
"	2014-11-25",10.2,6.6,15.1
"	2014-11-26",11,8.2,16.3
"	2014-11-27",10.4,6.7,14.9
"	2014-11-28",8.8,6.5,10.1
"	2014-11-29",8.3,5.5,12.8
"	2014-11-30",9.1,7.2,11.1
