Date,Precipitation
1/1/2017,
1/2/2017,0.3
1/3/2017,
1/4/2017,
1/5/2017,
1/6/2017,
1/7/2017,
1/8/2017,0
1/9/2017,0
1/10/2017,
1/11/2017,
1/12/2017,0
1/13/2017,0.6
1/14/2017,
1/15/2017,
1/16/2017,
1/17/2017,
1/18/2017,0
1/19/2017,
1/20/2017,4
1/21/2017,2.1
1/22/2017,0
1/23/2017,
1/24/2017,
1/25/2017,
1/26/2017,0.3
1/27/2017,3
1/28/2017,
1/29/2017,4.5
1/30/2017,0.1
1/31/2017,
2/1/2017,
2/2/2017,
2/3/2017,
2/4/2017,
2/5/2017,0.5
2/6/2017,
2/7/2017,
2/8/2017,
2/9/2017,
2/10/2017,
2/11/2017,
2/12/2017,
2/13/2017,
2/14/2017,
2/15/2017,
2/16/2017,0
2/17/2017,4
2/18/2017,
2/19/2017,1
2/20/2017,0.5
2/21/2017,
2/22/2017,5.1
2/23/2017,
2/24/2017,
2/25/2017,
2/26/2017,
2/27/2017,
2/28/2017,
3/1/2017,5
3/2/2017,0.5
3/3/2017,
3/4/2017,
3/5/2017,0.5
3/6/2017,
3/7/2017,0
3/8/2017,0
3/9/2017,
3/10/2017,
3/11/2017,
3/12/2017,0
3/13/2017,
3/14/2017,
3/15/2017,
3/16/2017,
3/17/2017,
3/18/2017,
3/19/2017,
3/20/2017,
3/21/2017,
3/22/2017,
3/23/2017,
3/24/2017,
3/25/2017,
3/26/2017,
3/27/2017,0.4
3/28/2017,
3/29/2017,
3/30/2017,
3/31/2017,1.5
4/1/2017,1
4/2/2017,
4/3/2017,
4/4/2017,
4/5/2017,37.5
4/6/2017,3
4/7/2017,
4/8/2017,0.5
4/9/2017,0.5
4/10/2017,
4/11/2017,
4/12/2017,
4/13/2017,0
4/14/2017,6
4/15/2017,
4/16/2017,
4/17/2017,5.5
4/18/2017,7.5
4/19/2017,
4/20/2017,0.1
4/21/2017,
4/22/2017,
4/23/2017,
4/24/2017,
4/25/2017,
4/26/2017,
4/27/2017,
4/28/2017,
4/29/2017,
4/30/2017,
5/1/2017,
5/2/2017,
5/3/2017,
5/4/2017,
5/5/2017,
5/6/2017,
5/7/2017,
5/8/2017,
5/9/2017,2.5
5/10/2017,2.5
5/11/2017,0
5/12/2017,
5/13/2017,6
5/14/2017,
5/15/2017,0
5/16/2017,
5/17/2017,
5/18/2017,
5/19/2017,
5/20/2017,
5/21/2017,
5/22/2017,
5/23/2017,5
5/24/2017,0.1
5/25/2017,
5/26/2017,
5/27/2017,
5/28/2017,
5/29/2017,
5/30/2017,
5/31/2017,
6/1/2017,
6/2/2017,0
6/3/2017,
6/4/2017,
6/5/2017,0
6/6/2017,15.5
6/7/2017,12.5
6/8/2017,
6/9/2017,0.1
6/10/2017,4.5
6/11/2017,
6/12/2017,
6/13/2017,0
6/14/2017,
6/15/2017,
6/16/2017,
6/17/2017,
6/18/2017,
6/19/2017,
6/20/2017,0
6/21/2017,0
6/22/2017,
6/23/2017,
6/24/2017,3.5
6/25/2017,1.5
6/26/2017,29
6/27/2017,0
6/28/2017,
6/29/2017,
6/30/2017,
7/1/2017,0.5
7/2/2017,92
7/3/2017,67.5
7/4/2017,0.5
7/5/2017,
7/6/2017,34
7/7/2017,16.5
7/8/2017,4.5
7/9/2017,32.5
7/10/2017,144.5
7/11/2017,1
7/12/2017,0
7/13/2017,
7/14/2017,0
7/15/2017,42.5
7/16/2017,22.5
7/17/2017,7.5
7/18/2017,2.5
7/19/2017,
7/20/2017,
7/21/2017,
7/22/2017,0.5
7/23/2017,133.5
7/24/2017,3
7/25/2017,
7/26/2017,
7/27/2017,3.5
7/28/2017,8.5
7/29/2017,0
7/30/2017,
7/31/2017,3.5
8/1/2017,2
8/2/2017,
8/3/2017,
8/4/2017,
8/5/2017,0
8/6/2017,5
8/7/2017,
8/8/2017,
8/9/2017,2.5
8/10/2017,5.5
8/11/2017,0.5
8/12/2017,
8/13/2017,0
8/14/2017,1.5
8/15/2017,93.5
8/16/2017,2
8/17/2017,0.5
8/18/2017,0
8/19/2017,0
8/20/2017,124.5
8/21/2017,5
8/22/2017,
8/23/2017,31.5
8/24/2017,14
8/25/2017,
8/26/2017,
8/27/2017,0
8/28/2017,9
8/29/2017,
8/30/2017,
8/31/2017,
9/1/2017,
9/2/2017,
9/3/2017,
9/4/2017,
9/5/2017,0
9/6/2017,2
9/7/2017,
9/8/2017,
9/9/2017,
9/10/2017,0.5
9/11/2017,24
9/12/2017,
9/13/2017,
9/14/2017,
9/15/2017,
9/16/2017,
9/17/2017,
9/18/2017,
9/19/2017,8
9/20/2017,
9/21/2017,
9/22/2017,
9/23/2017,0
9/24/2017,0
9/25/2017,
9/26/2017,0
9/27/2017,0.5
9/28/2017,
9/29/2017,
9/30/2017,
10/1/2017,4
10/2/2017,1.5
10/3/2017,
10/4/2017,
10/5/2017,
10/6/2017,0.5
10/7/2017,0
10/8/2017,
10/9/2017,0
10/10/2017,0.4
10/11/2017,20
10/12/2017,
10/13/2017,
10/14/2017,
10/15/2017,
10/16/2017,
10/17/2017,
10/18/2017,0.1
10/19/2017,
10/20/2017,
10/21/2017,
10/22/2017,
10/23/2017,
10/24/2017,
10/25/2017,
10/26/2017,
10/27/2017,
10/28/2017,
10/29/2017,
10/30/2017,
10/31/2017,
11/1/2017,
11/2/2017,1
11/3/2017,1.5
11/4/2017,
11/5/2017,
11/6/2017,
11/7/2017,0
11/8/2017,0
11/9/2017,
11/10/2017,7.5
11/11/2017,
11/12/2017,
11/13/2017,4.5
11/14/2017,
11/15/2017,
11/16/2017,
11/17/2017,0
11/18/2017,
11/19/2017,
11/20/2017,0
11/21/2017,
11/22/2017,0.5
11/23/2017,1.2
11/24/2017,0
11/25/2017,24
11/26/2017,
11/27/2017,
11/28/2017,0.5
11/29/2017,0
11/30/2017,
12/1/2017,0
12/2/2017,
12/3/2017,4
12/4/2017,0.1
12/5/2017,0.1
12/6/2017,1.2
12/7/2017,
12/8/2017,
12/9/2017,
12/10/2017,4.1
12/11/2017,
12/12/2017,
12/13/2017,
12/14/2017,
12/15/2017,0
12/16/2017,
